Gravity,Rainfall,Temperature
6.613,0.058,280.914
-0.515,0.096,286.718
-0.094,0.131,291.866
-0.237,0.066,286.555
0.923,0.108,281.65
4.844,0.116,278.725
7.488,0.074,273.666
5.114,0.083,272.557
6.644,0.022,271.042
7.283,0.032,278.21
5.354,0.049,281.282
1.886,0.079,287.284
-3.486,0.077,292.37
-4.514,0.035,294.298
-6.885,0.056,287.657
-7.963,0.076,279.494
-8.284,0.041,279.216
-6.58,0.057,274.854
5.311,0.049,276.926
3.98,0.049,282.169
2.225,0.083,284.584
-0.934,0.084,288.419
-0.414,0.108,290.053
-4.88,0.09,291.777
-6.513,0.061,287.527
-9.373,0.061,283.643
-1.402,0.075,277.409
-2.266,0.048,274.164
1.31,0.075,274.816
3.333,0.073,271.825
7.191,0.056,276.38
-0.189,0.075,282.251
3.996,0.094,285.844
-0.517,0.058,289.501
-1.469,0.116,291.31
-3.067,0.091,289.173
-2.123,0.061,288.574
-5.354,0.041,284.715
-4.261,0.051,277.445
-0.762,0.072,273.69
1.19,0.034,270.637
3.568,0.061,272.761
7.078,0.097,274.48
5.319,0.083,281.027
2.117,0.103,286.1
2.134,0.057,289.864
-5.963,0.049,295.373
-3.758,0.142,288.858
-3.357,0.039,290.272
-6.01,0.069,285.644
-0.453,0.064,280.211
-0.95,0.047,277.469
1.172,0.112,277.542
5.332,0.079,277.046
6.22,0.079,279.184
2.019,0.008,284.693
-1.771,0.13,287.401
-0.257,0.121,290.549
-0.339,0.131,290.4
0.207,0.099,290.162
-0.474,0.098,285.896
-1.895,0.034,281.938
-1.144,0.087,276.575
3.5,0.07,274.535
2.038,0.074,276.413
3.786,0.043,276.657
6.029,0.113,277.148
5.301,0.096,280.605
4.754,0.05,287.513
-0.093,0.069,290.127
-1.956,0.096,291.198
-3.091,0.098,290.719
-4.377,0.068,285.909
-4.257,0.079,282.499
-3.133,0.051,278.296
0.241,0.053,274.119
1.811,0.038,271.247
0.979,0.075,273.532
4.938,0.092,277.221
3.604,0.041,284.734
0.527,0.086,286.746
-1.098,0.105,288.051
-1.01,0.114,291.221
-4.204,0.056,292.086
-3.629,0.047,288.295
-3.714,0.08,281.641
-3.766,0.095,280.39
0.114,0.09,273.507
5.928,0.057,269.254
6.363,0.062,272.272
5.526,0.063,276.931
4.481,0.034,281.571
2.795,0.116,283.625
3.553,0.059,289.482
-2.23,0.087,293.73
0.033,0.172,289.984
1.965,0.091,285.775
0.69,0.042,281.572
5.007,0.101,277.802
11.029,0.102,269.282
6.076,0.026,277.847
5.19,0.033,284.649
1.524,0.049,287.401
3.029,0.105,291.08
-0.382,0.062,288.729
-1.903,0.055,282.863
4.847,0.117,274.831
6.979,0.036,270.591
8.402,0.025,279.755
0.727,0.109,288.856
0.232,0.116,290.693
-2.658,0.073,291.917
-4.946,0.06,287.359
2.519,0.111,274.363
5.123,0.076,273.095
5.384,0.063,272.109
6.545,0.143,284.845
5.347,0.103,288.715
0.32,0.052,292.76
-1.591,0.088,284.103
0.524,0.088,277.844
1.661,0.049,276.463
4.228,0.059,275.353
6.543,0.03,280.026
4.263,0.062,283.989
2.169,0.108,285.626
0.214,0.058,289.507
-1.745,0.113,289.389
0.492,0.066,288.294
-1.614,0.077,285.34
1.665,0.041,280.052
5.47,0.03,273.744
5.736,0.066,278.107
4.139,0.051,281.325
-4.52,0.081,293.455
-5.289,0.072,286.544
1.94,0.059,276.959
1.987,0.124,290.092
0.65,0.085,291.802
